Rang,Tendenz,"Unterschied Vorjahr",Stadt,Gesamt,Breitband,Glasfaser,Mobilfunk,"Public WLAN",IoT-Netzwerk,Datenplattform,"Weitere Pilotprojekte"
1,→,0,Köln,"82,01","91,67","75,28","87,5","81,48","70,72",100,10
2,↗,1,München,"72,42","91,67","56,18","87,5","88,89","82,04",50,0
3,↘,-1,Hamburg,"70,39","83,33","77,53",100,"92,59","57,51","12,5",20
4,↑,24,Darmstadt,"66,98","91,67","1,12",75,100,"71,7","62,5",20
5,↑,13,Bochum,"66,84","91,67","4,49","87,5","92,59","77,36","37,5",30
6,↑,9,Gelsenkirchen,"66,53","91,67","46,07",50,100,"76,38",25,30
7,↗,2,Berlin,"63,58","83,33","8,99","87,5",100,"70,72",50,0
8,↑,6,Bonn,"63,07",100,"7,87","81,25","62,96","95,25",50,0
9,↗,4,Düsseldorf,"58,43","91,67","3,37","93,75","81,48","52,83",25,20
10,↑,56,Göttingen,"58,23","66,67",0,"87,5","85,19","57,51",50,20
11,→,0,Aachen,"58,17","91,67","48,31",25,"92,59","83,92",25,0
12,↓,-8,Wiesbaden,"57,71","91,67",100,"37,5","77,78","56,6",0,0
13,↓,-7,Ulm,"56,83",75,"3,37","31,25","92,59","85,81",50,20
14,↑,28,Dresden,"55,87",75,"12,36",100,"85,19","66,94","12,5",0
15,↘,-3,Karlsruhe,"55,34","83,33",0,"37,5",100,"52,83",75,0
16,↑,25,Dortmund,"54,67",50,"5,62","43,75","62,96","89,58","62,5",30
17,↓,-7,Kiel,"54,58","83,33","23,6","31,25","85,19","83,02","37,5",0
18,↗,2,Leipzig,"53,17","83,33","7,87",75,"77,78","58,49","12,5",20
19,↑,19,Heidelberg,"52,7",50,"4,49","37,5",100,"57,51","62,5",20
20,↑,7,Nürnberg,"52,6","91,67","1,12","87,5","92,59","58,49",0,0
21,↑,36,Lübeck,"51,73","83,33","3,37","31,25","62,96",100,25,20
22,↑,33,Münster,"51,55","66,67","4,49","37,5","85,19","50,94",50,30
23,↓,-7,Mannheim,"51,31","83,33","32,58",75,"85,19","47,17",0,0
24,↑,21,Duisburg,"51,05",50,"2,25",25,"92,59","44,3","87,5",20
25,↓,-20,Stuttgart,"50,76","58,33","3,37","37,5",100,"90,57",0,30
26,,n.a.,Kaiserslautern,"50,04","66,67","1,12","37,5","92,59","34,87","62,5",20
27,↓,-8,Solingen,"50,02","58,33",0,"18,75","85,19","60,38","62,5",30
28,↓,-11,"Frankfurt am Main","49,92",75,"1,12",100,"66,67","71,7",0,0
29,↘,-3,Erlangen,"48,42","83,33","37,08","37,5","62,96","64,15",0,20
30,↑,23,Oberhausen,"48,33","83,33","5,62",50,"59,26","61,28",25,20
31,↓,-8,Ingolstadt,"48,31","83,33","29,21","68,75","77,78","45,28",0,0
32,↑,12,Wuppertal,"48,11","83,33","5,62","31,25","85,19","87,7",0,10
33,↓,-26,Oldenburg,"47,51","91,67","50,56","31,25","77,78","48,08",0,0
34,↑,6,Potsdam,"47,36","83,33","31,46","87,5","55,56","40,53",0,0
35,↗,1,"Freiburg im Breisgau","46,74","83,33","3,37","31,25","85,19","68,83","12,5",10
36,↓,-7,Osnabrück,"46,54","83,33","5,62","37,5","85,19","49,06","12,5",20
37,↓,-15,Regensburg,"46,31","91,67","32,58","31,25","77,78","58,49",0,0
38,↓,-7,Paderborn,"45,82","83,33",0,"37,5","77,78","65,06",25,0
39,↑,35,Hagen,"45,51","66,67","1,12","62,5","70,37","66,04",0,20
40,↓,-32,Recklinghausen,"45,22","91,67","3,37",25,"70,37","74,49",0,20
41,↓,-6,Mainz,"44,08","83,33","5,62","37,5","77,78",16,"37,5",20
42,↘,-3,Pforzheim,"44,02","83,33","2,25","37,5","85,19","49,06",0,20
43,↓,-11,Moers,"43,43",75,"1,12","18,75","62,96","78,26","37,5",0
44,↗,3,Hildesheim,"41,08","91,67",0,"31,25","81,48","9,43",25,20
45,↑,9,Saarbrücken,"39,89",75,"1,12","31,25","70,37","73,58",0,0
46,↓,-16,Mönchengladbach,"39,87","83,33","5,62","12,5","85,19","32,08","12,5",20
47,↑,21,"Ludwigshafen am Rhein","39,77","91,67","16,85","37,5","59,26","45,28",0,0
48,→,0,Wolfsburg,"39,68","66,67","7,87","31,25","66,67","7,55",50,20
49,↓,-28,Hannover,"39,2","91,67","21,35","43,75","66,67","23,55",0,0
50,↓,-26,Bremen,"39,12","83,33","2,25","37,5","92,59","20,75",0,10
51,↓,-8,"Offenbach am Main","39,09",100,"2,25","37,5","55,56","50,94",0,0
52,↓,-27,Neuss,"38,85","83,33","8,99","12,5","85,19","54,72",0,0
53,↓,-19,Augsburg,"38,65",75,"11,24","18,75","66,67","51,85",0,20
54,↑,19,Fürth,"37,02","83,33","2,25",75,"48,15","24,53",0,0
55,↓,-18,Jena,"36,91","83,33","1,12","37,5","88,89","21,66",0,0
56,↓,-23,Braunschweig,"35,84","83,33","11,24","31,25","62,96","16,98",0,20
57,↓,-6,Kassel,"35,35",75,"2,25","31,25","55,56","38,64",0,20
58,↑,6,Trier,"35,31",75,0,"18,75","55,56","63,17",0,10
59,↓,-10,Leverkusen,"35,21","91,67","3,37","31,25","85,19","10,34",0,0
60,↘,-1,Reutlingen,"33,22",75,0,25,"59,26",0,50,0
61,↗,1,"Halle (Saale)","32,58","8,33","37,08","37,5","62,96","59,4",0,0
62,↓,-10,Koblenz,"32,43",75,"37,08","37,5",0,"54,72",0,0
63,↓,-17,Herne,"31,96","91,67","5,62",25,"59,26","19,77",0,0
64,↑,14,Essen,"31,64","66,67","2,25",25,"59,26","46,19",0,0
65,↑,6,Erfurt,"31,47",75,0,"37,5","55,56","30,19",0,0
66,↘,-5,Rostock,"31,45","83,33","1,12","37,5","62,96","13,21",0,0
67,↗,3,Bielefeld,"31,14","16,67","3,37",75,"88,89","12,23",0,0
68,↓,-8,Remscheid,"31,04",75,"2,25","31,25","62,96","14,11",0,10
69,↗,3,Gütersloh,"30,98",75,"2,25","31,25","66,67",0,0,20
70,↘,-5,Magdeburg,"30,87",25,"19,1","37,5","68,89","33,96",0,10
71,↓,-13,Bremerhaven,"29,17","83,33",0,"37,5","62,96",0,0,0
72,↘,-5,Würzburg,"26,56","66,67","2,25",25,"55,56","17,89",0,0
73,↓,-17,Siegen,"26,01","83,33",0,25,"55,56",0,0,0
74,↗,1,Chemnitz,"25,77","33,33","42,7","37,5",0,"11,32","37,5",0
75,↓,-6,Hamm,"24,08","66,67","5,62","31,25","48,15",0,0,0
76,↗,3,"Bergisch Gladbach","23,66","83,33","2,25",0,"37,04","26,42",0,0
77,↘,-1,Bottrop,"22,56","83,33","19,1","31,25",0,"8,45",0,0
78,↓,-15,Krefeld,"21,89",75,"1,12","6,25","55,56",0,0,0
79,↘,-2,"Mülheim an der Ruhr","21,45",75,0,"37,5",0,"22,64",0,0
80,↗,1,Salzgitter,"18,16",75,"7,87",25,0,"6,57",0,0
81,↘,-1,Heilbronn,"14,95",0,"1,12","37,5","55,56",0,0,0
